00:00:00,00:00:40.958
00:00:40.958,00:00:18.435
00:00:59.393,00:00:01.042
00:01:00.435,00:00:08.592
00:01:09.027,00:00:07.299
00:01:16.326,00:00:01.543
00:01:17.869,00:00:08.3
00:01:26.169,00:00:08.801
00:01:34.97,00:00:09.301
00:01:44.271,00:00:05.13
00:01:49.401,00:00:01.168
00:01:50.569,00:00:06.047
00:01:56.616,00:00:05.005
00:02:01.621,00:00:01.001
00:02:02.622,00:00:03.921
00:02:06.543,00:00:01.335
00:02:07.878,00:00:03.378
00:02:11.256,00:00:01.126
00:02:12.382,00:00:59.56
00:03:11.942,00:00:05.338
00:03:17.28,00:00:04.255
00:03:21.535,00:00:00.417
00:03:21.952,00:00:02.752
00:03:24.704,00:00:00.584
00:03:25.288,00:00:03.546
00:03:28.834,00:00:18.393
00:03:47.227,00:00:01.21
00:03:48.437,00:00:01.71
00:03:50.147,00:00:01.793
00:03:51.94,00:00:03.128
00:03:55.068,00:00:03.045
00:03:58.113,00:00:03.545
00:04:01.658,00:00:19.102
00:04:20.76,00:00:10.678
00:04:31.438,00:00:10.635
00:04:42.073,00:00:01.293
00:04:43.366,00:00:03.17
00:04:46.536,00:00:38.122
00:05:24.658,00:00:07.632
00:05:32.29,00:00:03.504
00:05:35.794,00:00:04.463
00:05:40.257,00:00:04.004
00:05:44.261,00:00:04.212
00:05:48.473,00:00:08.717
00:05:57.19,00:00:05.631
00:06:02.821,00:00:28.028
00:06:30.849,00:00:03.462
00:06:34.311,00:00:05.213
00:06:39.524,00:00:08.634
00:06:48.158,00:00:03.086
00:06:51.244,00:00:01.585
00:06:52.829,00:00:02.002
00:06:54.831,00:00:02.503
00:06:57.334,00:00:02.585
00:06:59.919,00:00:09.885
00:07:09.804,00:00:02.294
00:07:12.098,00:00:11.887
00:07:23.985,00:00:01.794
00:07:25.779,00:00:04.337
00:07:30.116,00:00:02.127
00:07:32.243,00:00:04.004
00:07:36.247,00:00:03.17
00:07:39.417,00:00:02.711
00:07:42.128,00:00:06.924
00:07:49.052,00:00:02.002
00:07:51.054,00:00:01.96
00:07:53.014,00:00:01.585
00:07:54.599,00:00:02.461
00:07:57.06,00:00:01.335
00:07:58.395,00:00:12.429
00:08:10.824,00:00:02.961
00:08:13.785,00:00:02.377
00:08:16.162,00:00:05.673
00:08:21.835,00:00:04.004
00:08:25.839,00:00:03.461
00:08:29.3,00:00:07.049
00:08:36.349,00:00:02.544
00:08:38.893,00:00:01.544
00:08:40.437,00:00:03.253
00:08:43.69,00:00:01.126
00:08:44.816,00:00:03.045
00:08:47.861,00:00:04.713
00:08:52.574,00:00:02.919
00:08:55.493,00:00:14.181
00:09:09.674,00:00:04.171
00:09:13.845,00:00:04.463
00:09:18.308,00:00:04.004
00:09:22.312,00:00:01.793
00:09:24.105,00:00:01.543
00:09:25.648,00:00:00.96
